VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,02/15/2021 02:45:13 PM,02/15/2021 02:51:10 PM,1.0,0.78,1.0,N,141.0,237.0,1.0,6.0,0.0,0.5,2.33,0.0,0.3,11.63,2.5
2,02/15/2021 02:58:38 PM,02/15/2021 03:00:13 PM,1.0,0.35,1.0,N,237.0,237.0,2.0,3.5,0.0,0.5,0.0,0.0,0.3,6.8,2.5
1,02/15/2021 02:10:57 PM,02/15/2021 02:19:50 PM,1.0,1.7,1.0,N,262.0,237.0,2.0,8.5,2.5,0.5,0.0,0.0,0.3,11.8,2.5
1,02/15/2021 02:48:30 PM,02/15/2021 02:52:10 PM,1.0,0.6,1.0,N,230.0,100.0,2.0,4.5,2.5,0.5,0.0,0.0,0.3,7.8,2.5
1,02/15/2021 02:57:59 PM,02/15/2021 03:03:26 PM,2.0,0.9,1.0,N,161.0,170.0,2.0,6.0,2.5,0.5,0.0,0.0,0.3,9.3,2.5
2,02/15/2021 02:55:35 PM,02/15/2021 03:05:12 PM,1.0,4.29,1.0,N,138.0,226.0,1.0,14.0,0.0,0.5,0.0,0.0,0.3,14.8,0.0
2,02/15/2021 01:39:57 PM,02/15/2021 01:44:55 PM,4.0,1.05,1.0,N,151.0,41.0,1.0,5.5,0.0,0.5,1.0,0.0,0.3,7.3,0.0
2,02/15/2021 01:54:01 PM,02/15/2021 02:04:43 PM,3.0,1.91,1.0,N,238.0,263.0,1.0,9.5,0.0,0.5,2.56,0.0,0.3,15.36,2.5
2,02/15/2021 02:07:38 PM,02/15/2021 02:20:12 PM,3.0,2.71,1.0,N,263.0,170.0,1.0,11.0,0.0,0.5,2.86,0.0,0.3,17.16,2.5
2,02/15/2021 02:57:15 PM,02/15/2021 03:04:31 PM,1.0,2.47,1.0,N,146.0,233.0,2.0,9.5,0.0,0.5,0.0,0.0,0.3,12.8,2.5
